Anr;EAN;Lief;Artikel;Land;IK;V1;V2;MWSt;VK1;eVK;Staffel1;EK-Staffel1;Staffel2;EK-Staffel2;Grundpreis-Einheit;Grundpreis-Faktor
2810;;NPG;Folienbeutel für Sauerkraut;D;##;1;100 St;2;3,5;;;;;;1 St;0,01
10871;;BOA;Obsthof Augustin Apfelplakat;;;1;St;2;0;;;;;;;1
43108;;scm;2x6er BID Eier-Pappe KVP;D;;1;59 St;2;12,12;;;;;;1St;0,017
43117;;scm;10er BID Eier-Pappe KVP;D;;1;59 St;2;10,1;;;;;;1St;0,017
46018;4032103000416;sgg;Ef_Eierlikör;D;DB;1;350ml;2;11,9;19,9;;;;;100ml;0,285
46019;4032103000409;GKR;Ef_Roggenkorn;D;DB;1;350ml;2;10,5;17,9;;;;;100ml;0,285
47786;4260178739515;PVB;Minzglück Grüner Smoothie;D;C%;6;240ml;2;1,63;2,69;;;;;;1
47787;4260178739522;PVB;Powerbeete Grüner Smoothie;D;C%;6;240ml;2;1,63;2,69;;;;;;1
47791;4260178730017;PVB;Kreuzbeere-Smoothie Proviant;D;C%;6;240ml;2;1,43;2,39;;;;;100ml;0,417
47793;4260178730024;PVB;Mango-Maracuja-Smoothie Prov.;D;C%;6;240ml;2;1,43;2,39;;;;;100ml;0,417
47795;4260178730031;PVB;Erdbeer-Banane-Smoothie Prov.;D;C%;6;240ml;2;1,43;2,39;;;;;100ml;0,417
47796;4260178730147;PVB;Grüner Smoothie Spinatheld;D;C%;6;240ml;2;1,63;2,69;;;;;1L;4,347
47797;4260178730048;PVB;Treibstoff-Smoothie Proviant;D;C%;6;240ml;2;1,63;2,69;;;;;100ml;0,417
47798;4260178730055;PVB;Kraftpaket-Smoothie Proviant;D;C%;6;240ml;2;1,63;2,69;;;;;100ml;0,417
47799;4260178730062;PVB;Grashüpfer-Smoothie Proviant;D;C%;6;240ml;2;1,63;2,69;;;;;100ml;0,417
47808;4260178730086;PVB;Pfirsich-Maracuja Smoothie;D;C%;6;240ml;2;1,43;2,39;;;;;100ml;0,417
47810;4260178730093;PVB;Liebesgruß Smoothie;D;C%;6;240ml;2;1,63;2,69;;;;;100ml;0,417
49065;4020713195301;NPG;Käsefolie (4 x 30cm x 300m);D;;1;Karton;2;17,49;;;;;;;1
50115;;ISK;Holl.Käsemesser 38cm Kunstst.;D;;1;St;2;82,9;;;;;;;1
50120;;ISK;VB Weichkäsemesser, weiß 21cm;D;;1;St;2;28,9;;;;;;;1
50125;;ISK;Briemesser 14cm  Weiß;D;;1;St;2;14,9;;;;;;;1
50126;;ISK;Briemesser 14cm  Schwarz;D;;1;St;2;14,9;;;;;;;1
50127;;ISK;Briemesser 14cm  Rot;D;;1;St;2;14,9;;;;;;;1
50128;;ISK;Briemesser 14cm  Blau;D;;1;St;2;14,9;;;;;;;1
50135;;ISK;Käsemesser, Kullenschliff 26cm;D;;1;St;2;43,9;;;;;;;1
50140;;ISK;Käsemesser, Kullenschliff 29cm;D;;1;St;2;47,9;;;;;;;1
50145;;ISK;Messer,Kullenschl.2Griffe 30cm;D;;1;St;2;69,9;;;;;;;1
50155;;ISK;Frischkäsespatel 26cm  schwarz;D;;1;St;2;2,98;;;;;;;1
50170;8713638005157;ISK;Roquefortbogen 24cm;D;;1;St;2;19,9;;;;;;;1
